user_id,day_type,bin,n_pairs,fallback,ks_stat,p_value,passed,r_pearson,r_spearman,correlated,rho_copula
norway|ASK_Plass67,Weekday,14,52,1,0.0687,0.9678,true,0.0856,0.1168,false,
norway|ASK_Plass67,Weekday,15,30,1,0.1413,0.5887,true,-0.2011,0.1471,false,
norway|ASK_Plass67,Weekday,16,42,1,0.2686,0.0048,false,-0.1108,0.1062,false,0.1488
norway|ASK_Plass67,Weekday,17,32,1,0.1938,0.1818,true,-0.0351,-0.0302,false,
norway|ASK_Plass67,Weekday,18,26,1,0.133,0.7483,true,0.4157,0.2274,true,
norway|ASK_Plass67,Weekday,19,18,1,0.1937,0.5101,true,-0.3632,0.0114,true,
norway|OSL_S_KT143,Weekend,19,37,1,0.1427,0.4403,true,0.0559,0.0924,false,
norway|OSL_S_KT143,Weekend,20,33,1,0.1501,0.4486,true,0.0547,0.0471,false,
norway|OSL_S_KT143,Weekend,21,35,1,0.1931,0.1483,true,0.1214,-0.118,false,
norway|OSL_S_KT143,Weekend,22,18,1,0.1974,0.4857,true,0.7588,0.5294,true,
norway|ASK_Plass7,Weekday,17,42,1,0.2622,0.0064,false,0.2615,0.4887,true,
norway|ASK_Plass7,Weekday,18,25,1,0.2866,0.0333,false,0.6534,0.7224,true,0.7349
norway|ASK_Plass7,Weekday,19,34,1,0.2619,0.0191,false,-0.2405,-0.0258,false,
norway|ASK_Plass7,Weekday,20,63,1,0.2384,0.0016,false,0.23,0.3944,true,0.5008
norway|ASK_Plass7,Weekday,21,18,1,0.2915,0.0943,true,-0.1046,0.1621,false,
norway|ASK_Plass7,Weekday,22,40,1,0.1628,0.2416,true,0.1313,-0.0667,false,
norway|ASK_Plass7,Weekday,23,32,1,0.1405,0.5543,true,-0.1229,-0.2205,false,
norway|ASK_Plass87,Weekday,17,20,1,0.0985,0.9903,true,-0.2609,-0.0767,false,
norway|ASK_Plass87,Weekday,18,19,1,0.1323,0.894,true,0.0772,-0.136,false,
kim|KR_98,Weekday,16,17,1,0.1134,0.9811,true,0.3449,0.375,true,
kim|KR_98,Weekday,17,15,1,0.166,0.8034,true,0.158,0.0571,false,
kim|KR_98,Weekday,18,18,1,0.1332,0.9072,true,-0.0145,0.129,false,
kim|KR_98,Weekday,19,16,1,0.1608,0.8032,true,0.1725,0.3647,true,
pecan|PS_27,Weekday,17,24,1,0.3123,0.0187,false,-0.4396,-0.1653,true,
pecan|PS_27,Weekday,20,17,1,0.166,0.7376,true,0.3687,-0.0467,true,
norway|OSL_S_KT160,Weekday,3,18,1,0.2939,0.0897,true,-0.4698,-0.6058,true,
norway|OSL_S_KT94,Weekday,14,22,1,0.1386,0.793,true,-0.1658,-0.0785,false,
norway|OSL_S_KT94,Weekday,15,22,1,0.181,0.4681,true,0.3073,0.4226,true,
norway|OSL_S_KT94,Weekday,16,15,1,0.1993,0.5912,true,0.3726,0.325,true,
norway|OSL_S_KT94,Weekday,17,18,1,0.165,0.7121,true,0.3094,0.3044,true,
norway|OSL_T_76,Weekday,19,18,1,0.1933,0.5132,true,-0.0309,0.25,false,
norway|ASK_Plass5,Weekday,15,21,1,0.169,0.5875,true,-0.2303,0.1532,false,
norway|ASK_Plass5,Weekday,16,19,1,0.2281,0.277,true,0.627,0.8012,true,
norway|ASK_Plass5,Weekday,17,43,1,0.2498,0.0096,false,0.1181,0.0123,false,
norway|ASK_Plass5,Weekday,18,17,1,0.3447,0.0354,false,0.9317,0.473,true,0.8823
norway|ASK_Plass5,Weekday,19,33,1,0.1601,0.3682,true,-0.027,-0.1575,false,
norway|ASK_Plass5,Weekday,20,16,1,0.2714,0.1899,true,0.4566,0.1884,true,
norway|ASK_Plass5,Weekday,21,15,1,0.2055,0.5518,true,-0.4258,-0.0464,true,
norway|OSL_T_63,Weekend,5,17,1,0.3707,0.0188,false,0.5266,0.3544,true,
norway|OSL_S_KT125,Weekday,1,16,1,0.2179,0.4341,true,0.1079,-0.2471,false,
norway|OSL_S_KT125,Weekday,16,16,1,0.1631,0.7891,true,-0.0942,0.2882,false,
norway|OSL_S_KT125,Weekday,17,19,1,0.1772,0.5905,true,-0.1603,-0.1439,false,
norway|OSL_S_KT125,Weekday,18,18,1,0.1873,0.5537,true,-0.1407,0.0052,false,
norway|OSL_S_KT125,Weekday,20,17,1,0.1235,0.958,true,0.0136,0.0515,false,
